Timestamp,Does the text properly display for you?,What kind of device are you viewing it from?,(Optional) Provide further device details,What web browser are you viewing it in?
1/12/2024 11:22:02,Yes,Computer running Windows,,Google Chrome
1/12/2024 11:24:13,Yes,Mobile running Android,,Opera
1/12/2024 11:51:11,Yes,Endeavor OS - Arch Based Linux - X11,,Firefox
1/13/2024 17:01:02,Yes,Computer running Windows,,Firefox
1/15/2024 14:15:28,Yes,Mobile running IOS,,Google Chrome
1/16/2024 8:13:09,Yes,Computer running MacOS,,Google Chrome
1/16/2024 20:22:09,Yes,Computer running Windows,,Google Chrome
1/17/2024 10:13:54,Yes,Computer running MacOS,,Safari
1/17/2024 23:41:24,Yes,Computer running Windows,"Republic of Gaming Zephyrus, AMD RYZEN 7 3750H, NVIDIA GEFORCE GTX 1660, current resolution: 1920 x 1080, 120 Hz refresh rate",Bing
1/18/2024 13:02:19,Yes,Computer running Windows,,Microsoft Edge
1/18/2024 15:55:25,Yes,Computer running Windows,asus laptop 1920 x 1080,Google Chrome
1/18/2024 15:56:51,Yes,Computer running Windows,,Google Chrome
1/18/2024 15:58:57,Yes,Computer running MacOS,"Mac 2022, M2",Vivaldi
1/18/2024 16:04:37,Yes,Computer running Windows,HP Victus 16,Google Chrome
1/18/2024 16:06:02,Yes,Computer running Windows,,Opera
1/18/2024 16:06:10,Yes,Computer running Windows,"Windows 11, Lenovo Slim Pro 7, AMD Ryzen 7 7735HS, 16 GB RAM, 2560 x 1600 Resolution",Firefox
1/18/2024 16:08:06,Yes,Computer running MacOS,,Firefox
1/18/2024 16:12:08,Yes,Computer running MacOS,,Google Chrome
1/18/2024 16:17:12,Yes,Computer running Windows,,Brave (Basically just chrome with an ad blocker)
1/18/2024 16:56:37,Yes,Computer running Windows,,Google Chrome
1/18/2024 16:59:47,Yes,Computer running Windows,,Google Chrome
1/18/2024 17:03:13,Yes,Computer running Windows,,Microsoft Edge
1/18/2024 17:04:02,Yes,Computer running Windows,,Google Chrome
1/18/2024 17:04:10,Yes,Computer running Windows,,Firefox
1/18/2024 17:04:15,Yes,Computer running Windows,,brave (chromium)
1/18/2024 17:04:57,Yes,Computer running Windows,,Google Chrome
1/18/2024 17:07:52,Yes,Computer running Windows,HP Laptop,Google Chrome
1/21/2024 21:23:38,Yes,Computer running Windows,,Google Chrome
